Median_Index,Smoothed_Voltage
12574,-8447.265625
12624,-8447.265625
12674,-8447.265625
12724,-8447.265625
12774,-8447.265625
12824,-8447.265625
12874,-8447.265625
12924,-8447.265625
12974,-8447.265625
13024,-8447.265625
13074,-8447.265625
13124,-8447.265625
13174,-8447.265625
13224,-8447.265625
13324,-8452.148438
13374,-8452.148438
13424,-8452.148438
13474,-8452.148438
13524,-8452.148438
13574,-8452.148438
13674,-8457.03125
13724,-8457.03125
13774,-8457.03125
13824,-8457.03125
13874,-8457.03125
13924,-8457.03125
13974,-8457.03125
14024,-8457.03125
14074,-8457.03125
14124,-8457.03125
14174,-8457.03125
14224,-8457.03125
14274,-8457.03125
14324,-8457.03125
14374,-8457.03125
14424,-8457.03125
14474,-8457.03125
14524,-8457.03125
14574,-8457.03125
14624,-8457.03125
14674,-8457.03125
14724,-8457.03125
14774,-8457.03125
14824,-8457.03125
14874,-8457.03125
14924,-8457.03125
14974,-8457.03125
15024,-8457.03125
15074,-8457.03125
15124,-8457.03125
15174,-8457.03125
15224,-8457.03125
15274,-8457.03125
15324,-8457.03125
15374,-8457.03125
15424,-8457.03125
15474,-8457.03125
15524,-8457.03125
15624,-8452.148438
15674,-8452.148438
15724,-8452.148438
15774,-8452.148438
15824,-8452.148438
15874,-8452.148438
15924,-8452.148438
15974,-8452.148438
16024,-8452.148438
16074,-8452.148438
16124,-8452.148438
16174,-8452.148438
16274,-8447.265625
16324,-8447.265625
16374,-8447.265625
16424,-8447.265625
16474,-8447.265625
16524,-8447.265625
16624,-8442.382812
16674,-8442.382812
16724,-8442.382812
16774,-8442.382812
16824,-8442.382812
16874,-8442.382812
16924,-8442.382812
16974,-8442.382812
17024,-8442.382812
17074,-8442.382812
17174,-8437.5
17224,-8437.5
17274,-8437.5
17324,-8437.5
17374,-8437.5
17424,-8437.5
17474,-8437.5
17524,-8437.5
17624,-8432.617188
17674,-8432.617188
17724,-8432.617188
17774,-8432.617188
17824,-8432.617188
17874,-8432.617188
17924,-8432.617188
17974,-8432.617188
18024,-8432.617188
18074,-8432.617188
18124,-8432.617188
18174,-8432.617188
18274,-8427.734375
18324,-8427.734375
18374,-8427.734375
18674,-8041.992188
18724,-8041.992188
18774,-8041.992188
18824,-8041.992188
